"Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;+/-;TS%;eFG%;3PAr;FTr;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;ORtg;DRtg;BPM;Result"
"Damian Lillard;40:18:00;6;20;.300;4;13;.308;7;8;.875;1;2;3;7;1;0;3;2;23;14.4;-4;.489;.400;.650;.400;2.4;5.1;3.7;25.4;1.2;0.0;11.3;27.2;106;119;-0.3;L"
"Giannis Antetokounmpo;37:06:00;12;24;.500;0;0;;3;10;.300;3;10;13;7;1;3;3;4;27;20.7;12;.475;.500;.000;.417;7.8;27.5;17.3;37.0;1.3;7.9;9.6;34.9;102;106;6.7;L"
"Khris Middleton;24:02:00;6;11;.545;0;3;.000;0;0;;0;3;3;2;1;0;0;0;12;10.0;-18;.545;.545;.273;.000;0.0;12.7;6.2;14.3;2.0;0.0;0.0;18.9;119;114;1.7;L"
"Brook Lopez;22:41;3;4;.750;0;1;.000;1;2;.500;1;2;3;1;0;1;1;2;7;5.9;-8;.717;.750;.250;.500;4.2;9.0;6.5;6.3;0.0;4.3;17.0;10.7;125;118;-1.3;L"
"Andre Jackson Jr.;13:31;1;1;1.000;0;0;;0;0;;1;1;2;0;0;0;1;2;2;0.9;0;1.000;1.000;.000;.000;7.1;7.6;7.3;0.0;0.0;0.0;50.0;6.1;101;121;-7.7;L"
"Bobby Portis;28:11:00;4;9;.444;3;4;.750;4;4;1.000;1;7;8;0;0;1;4;2;15;9.0;-2;.697;.611;.444;.444;3.4;25.4;14.0;0.0;0.0;3.5;27.1;21.6;102;112;-1.8;L"
"Gary Trent Jr.;21:02;2;8;.250;2;7;.286;4;4;1.000;1;1;2;0;1;0;1;2;10;5.4;-11;.512;.375;.875;.500;4.6;4.9;4.7;0.0;2.3;0.0;9.3;21.1;106;117;-3.2;L"
"Ryan Rollins;18:41;2;4;.500;0;2;.000;0;0;;1;1;2;1;0;0;0;4;4;2.1;-12;.500;.500;.500;.000;5.1;5.5;5.3;7.4;0.0;0.0;0.0;8.8;123;122;-8.0;L"
"Taurean Prince;18:16;3;6;.500;2;5;.400;0;0;;2;1;3;2;1;0;1;2;8;7.3;-4;.667;.667;.833;.000;10.5;5.6;8.1;16.4;2.6;0.0;14.3;15.8;130;116;5.9;L"
"Pat Connaughton;9:33;1;3;.333;0;2;.000;0;0;;2;2;4;1;1;1;0;1;2;4.3;14;.333;.333;.667;.000;20.1;21.4;20.7;14.4;5.1;10.3;0.0;13.0;114;99;8.0;L"
"MarJon Beauchamp;6:39;0;0;;0;0;;0;0;;0;3;3;0;0;0;0;0;0;0.9;18;;;;;0.0;46.1;22.3;0.0;0.0;0.0;;0.0;0;106;-3.3;L"
"Damian Lillard;39:55:00;7;17;.412;4;11;.364;7;7;1.000;0;5;5;4;1;0;4;1;25;16.8;5;.623;.529;.647;.412;0.0;13.1;7.0;13.9;1.2;0.0;16.6;27.0;108;111;-2.3;W"
"Giannis Antetokounmpo;36:14:00;13;17;.765;0;0;;8;14;.571;3;12;15;6;0;0;0;2;34;34.0;25;.734;.765;.000;.824;9.9;34.6;23.1;30.8;0.0;0.0;0.0;28.6;158;111;14.7;W"
"Brook Lopez;35:41:00;4;8;.500;2;3;.667;2;2;1.000;1;6;7;3;0;2;0;2;12;13.2;5;.676;.625;.375;.250;3.4;17.5;10.9;10.7;0.0;6.6;0.0;11.1;147;108;3.0;W"
"Taurean Prince;23:50;4;8;.500;3;5;.600;0;0;;1;1;2;1;0;0;0;1;11;8.3;7;.688;.688;.625;.000;5.0;4.4;4.7;5.8;0.0;0.0;0.0;15.0;136;115;0.8;W"
"Andre Jackson Jr.;19:42;4;5;.800;1;2;.500;0;0;;0;3;3;2;1;0;0;2;9;9.6;3;.900;.900;.400;.000;0.0;15.9;8.5;14.7;2.5;0.0;0.0;11.4;178;107;7.6;W"
"Khris Middleton;24:41:00;5;10;.500;1;4;.250;2;2;1.000;0;5;5;8;0;0;1;0;13;14.1;8;.597;.550;.400;.200;0.0;21.1;11.3;46.8;0.0;0.0;8.4;21.6;132;113;5.4;W"
"Gary Trent Jr.;23:13;2;7;.286;2;5;.400;0;0;;0;2;2;2;0;0;0;1;6;3.5;4;.429;.429;.714;.000;0.0;9.0;4.8;10.6;0.0;0.0;0.0;13.5;97;115;-6.4;W"
"Bobby Portis;19:10;2;10;.200;0;3;.000;2;3;.667;1;7;8;3;0;1;0;2;6;4.2;0;.265;.200;.300;.300;6.3;38.1;23.3;19.8;0.0;6.1;0.0;26.4;79;106;-9.6;W"
"Ryan Rollins;14:34;2;4;.500;1;3;.333;2;2;1.000;1;0;1;2;0;0;0;4;7;5.5;15;.717;.625;.750;.500;8.2;0.0;3.8;18.1;0.0;0.0;0.0;15.0;162;114;-0.6;W"
